Node,S30,S10,S90,S120,S30 in liter,S10 in liter,S90 liter,S120 in liter,Rain,Max Wind Spd km/h,Min Temp,Max Temp,Daily water usage,Duration of Sprinkler
1,12.49,14.6,16.85,9.4,37.47,14.6,151.65,112.8,0,43,21.2,33.1,1900,16
1,12.5,14.6,16.85,9.4,37.5,14.6,151.65,112.8,0,43,21.2,33.1,1900,16
1,12.51,14.6,16.85,9.39,37.53,14.6,151.65,112.68,0,43,21.2,33.1,1900,16
1,12.5,14.6,16.85,9.39,37.5,14.6,151.65,112.68,0,43,21.2,33.1,1900,16
1,12.51,14.6,16.85,9.4,37.53,14.6,151.65,112.8,0,43,21.2,33.1,1900,16
1,12.51,14.6,16.85,9.4,37.53,14.6,151.65,112.8,0,43,21.2,33.1,1900,16
1,12.5,14.6,16.85,9.39,37.5,14.6,151.65,112.68,0,43,21.2,33.1,1900,16
1,12.51,14.6,16.84,9.4,37.53,14.6,151.56,112.8,0,43,21.2,33.1,1900,16
1,12.52,14.6,16.85,9.4,37.56,14.6,151.65,112.8,0,43,21.2,33.1,1900,16
1,12.53,14.6,16.85,9.4,37.59,14.6,151.65,112.8,0,43,21.2,33.1,1900,16
1,12.53,14.6,16.84,9.4,37.59,14.6,151.56,112.8,0,43,21.2,33.1,1900,16
1,12.53,14.6,16.84,9.39,37.59,14.6,151.56,112.68,0,43,21.2,33.1,1900,16
1,12.54,14.6,16.84,9.39,37.62,14.6,151.56,112.68,0,43,21.2,33.1,1900,16
1,12.54,14.6,16.84,9.39,37.62,14.6,151.56,112.68,0,43,21.2,33.1,1900,16
1,12.54,14.6,16.84,9.4,37.62,14.6,151.56,112.8,0,43,21.2,33.1,1900,16
1,12.54,14.6,16.84,9.39,37.62,14.6,151.56,112.68,0,43,21.2,33.1,1900,16
1,12.54,14.6,16.84,9.4,37.62,14.6,151.56,112.8,0,43,21.2,33.1,1900,16
1,12.01,13.81,16.56,8.87,36.03,13.81,149.04,106.44,0,43,22.6,33.4,1725,13
1,12,13.81,16.56,8.86,36,13.81,149.04,106.32,0,43,22.6,33.4,1725,13
1,12.02,13.8,16.56,8.84,36.06,13.8,149.04,106.08,0,43,22.6,33.4,1700,12
